;;;;;;;
time;ax;ay;az;Latitude;Longitude;Speed (m/s);
0.0140;-2.0742;-3.7525;-3.0987;0.00000000;0.00000000;0.00000000;
0.0140;-2.0742;-3.7525;-3.0987;0.00000000;0.00000000;0.00000000;
0.0140;-3.1189;-4.3215;-3.4860;0.00000000;0.00000000;0.00000000;
0.0150;-3.1189;-4.3215;-3.4860;0.00000000;0.00000000;0.00000000;
0.0150;-3.1189;-4.3215;-3.4860;0.00000000;0.00000000;0.00000000;
0.0150;-3.1189;-4.3215;-3.4860;0.00000000;0.00000000;0.00000000;
0.0150;-2.7801;-4.3301;-0.1798;0.00000000;0.00000000;0.00000000;
0.0160;-2.7801;-4.3301;-0.1798;0.00000000;0.00000000;0.00000000;
0.0160;-2.7801;-4.3301;-0.1798;0.00000000;0.00000000;0.00000000;
0.0160;-2.7801;-4.3301;-0.1798;0.00000000;0.00000000;0.00000000;
0.0170;-6.0085;-1.9128;3.4016;0.00000000;0.00000000;0.00000000;
0.0320;-6.0085;-1.9128;3.4016;0.00000000;0.00000000;0.00000000;
0.0430;-6.0085;-1.9128;3.4016;0.00000000;0.00000000;0.00000000;
0.0430;-6.0085;-1.9128;3.4016;0.00000000;0.00000000;0.00000000;
0.0430;-3.9001;1.0248;5.0042;0.00000000;0.00000000;0.00000000;
0.0450;-3.9001;1.0248;5.0042;0.00000000;0.00000000;0.00000000;
0.0610;-3.9001;1.0248;5.0042;0.00000000;0.00000000;0.00000000;
0.0610;-3.9001;1.0248;5.0042;0.00000000;0.00000000;0.00000000;
0.0610;1.9706;3.2302;3.9634;0.00000000;0.00000000;0.00000000;
0.0680;1.9706;3.2302;3.9634;0.00000000;0.00000000;0.00000000;
0.0680;1.9706;3.2302;3.9634;0.00000000;0.00000000;0.00000000;
0.0680;1.9706;3.2302;3.9634;0.00000000;0.00000000;0.00000000;
0.0680;1.9706;3.2302;3.9634;0.00000000;0.00000000;0.00000000;
0.0770;1.9706;3.2302;3.9634;0.00000000;0.00000000;0.00000000;
0.0780;1.9706;3.2302;3.9634;0.00000000;0.00000000;0.00000000;
0.0780;1.2506;3.1012;2.3818;0.00000000;0.00000000;0.00000000;
0.0870;1.2506;3.1012;2.3818;0.00000000;0.00000000;0.00000000;
0.0980;1.2506;3.1012;2.3818;0.00000000;0.00000000;0.00000000;
0.0980;1.2506;3.1012;2.3818;0.00000000;0.00000000;0.00000000;
0.0990;-3.8169;2.8340;2.4669;0.00000000;0.00000000;0.00000000;
0.1080;-3.8169;2.8340;2.4669;0.00000000;0.00000000;0.00000000;
0.1220;-3.8169;2.8340;2.4669;0.00000000;0.00000000;0.00000000;
0.1230;-3.8169;2.8340;2.4669;0.00000000;0.00000000;0.00000000;
0.1230;-4.2045;3.9726;2.6225;0.00000000;0.00000000;0.00000000;
0.1290;-4.2045;3.9726;2.6225;0.00000000;0.00000000;0.00000000;
0.1390;-4.2045;3.9726;2.6225;0.00000000;0.00000000;0.00000000;
0.1390;-4.2045;3.9726;2.6225;0.00000000;0.00000000;0.00000000;
0.1390;-2.0575;4.8459;-0.0939;0.00000000;0.00000000;0.00000000;
0.1490;-2.0575;4.8459;-0.0939;0.00000000;0.00000000;0.00000000;
0.1600;-2.0575;4.8459;-0.0939;0.00000000;0.00000000;0.00000000;
0.1600;-2.0575;4.8459;-0.0939;0.00000000;0.00000000;0.00000000;
0.1600;0.2161;2.5698;-1.8548;0.00000000;0.00000000;0.00000000;
0.1700;0.2161;2.5698;-1.8548;0.00000000;0.00000000;0.00000000;
0.1810;0.2161;2.5698;-1.8548;0.00000000;0.00000000;0.00000000;
0.1810;0.2161;2.5698;-1.8548;0.00000000;0.00000000;0.00000000;
0.1810;1.8711;0.9036;-0.9314;0.00000000;0.00000000;0.00000000;
0.1910;1.8711;0.9036;-0.9314;0.00000000;0.00000000;0.00000000;
0.2020;1.8711;0.9036;-0.9314;0.00000000;0.00000000;0.00000000;
0.2020;1.8711;0.9036;-0.9314;0.00000000;0.00000000;0.00000000;
0.2030;-0.1827;-2.2291;2.2403;0.00000000;0.00000000;0.00000000;
0.2110;-0.1827;-2.2291;2.2403;0.00000000;0.00000000;0.00000000;
0.2210;-0.1827;-2.2291;2.2403;0.00000000;0.00000000;0.00000000;
0.2220;-0.1827;-2.2291;2.2403;0.00000000;0.00000000;0.00000000;
0.2220;-1.2308;-3.9870;3.4912;0.00000000;0.00000000;0.00000000;
0.2320;-1.2308;-3.9870;3.4912;0.00000000;0.00000000;0.00000000;
0.2320;-1.2308;-3.9870;3.4912;0.00000000;0.00000000;0.00000000;
0.2320;-1.2308;-3.9870;3.4912;0.00000000;0.00000000;0.00000000;
0.2330;-1.2308;-3.9870;3.4912;0.00000000;0.00000000;0.00000000;
0.2420;-1.2308;-3.9870;3.4912;0.00000000;0.00000000;0.00000000;
0.2420;-1.2308;-3.9870;3.4912;0.00000000;0.00000000;0.00000000;
0.2430;0.6507;-3.7890;1.2738;0.00000000;0.00000000;0.00000000;
0.2520;0.6507;-3.7890;1.2738;0.00000000;0.00000000;0.00000000;
0.2620;0.6507;-3.7890;1.2738;0.00000000;0.00000000;0.00000000;
0.2620;0.6507;-3.7890;1.2738;0.00000000;0.00000000;0.00000000;
0.2630;2.9130;-2.0714;-3.3057;0.00000000;0.00000000;0.00000000;
0.2720;2.9130;-2.0714;-3.3057;0.00000000;0.00000000;0.00000000;
0.2830;2.9130;-2.0714;-3.3057;0.00000000;0.00000000;0.00000000;
0.2830;2.9130;-2.0714;-3.3057;0.00000000;0.00000000;0.00000000;
0.2840;2.0216;-1.6915;-4.6899;0.00000000;0.00000000;0.00000000;
0.2930;2.0216;-1.6915;-4.6899;0.00000000;0.00000000;0.00000000;
0.3030;2.0216;-1.6915;-4.6899;0.00000000;0.00000000;0.00000000;
0.3030;2.0216;-1.6915;-4.6899;0.00000000;0.00000000;0.00000000;
0.3040;1.0986;-2.5916;-2.4416;0.00000000;0.00000000;0.00000000;
0.3130;1.0986;-2.5916;-2.4416;0.00000000;0.00000000;0.00000000;
0.3240;1.0986;-2.5916;-2.4416;0.00000000;0.00000000;0.00000000;
0.3240;1.0986;-2.5916;-2.4416;0.00000000;0.00000000;0.00000000;
0.3250;0.9556;-2.6310;-1.1781;0.00000000;0.00000000;0.00000000;
0.3350;0.9556;-2.6310;-1.1781;0.00000000;0.00000000;0.00000000;
0.3440;0.9556;-2.6310;-1.1781;0.00000000;0.00000000;0.00000000;
0.3440;0.9556;-2.6310;-1.1781;0.00000000;0.00000000;0.00000000;
0.3450;3.3571;-1.3806;-2.8531;0.00000000;0.00000000;0.00000000;
0.3550;3.3571;-1.3806;-2.8531;0.00000000;0.00000000;0.00000000;
0.3640;3.3571;-1.3806;-2.8531;0.00000000;0.00000000;0.00000000;
0.3640;3.3571;-1.3806;-2.8531;0.00000000;0.00000000;0.00000000;
0.3640;4.2288;-1.6372;-1.9345;0.00000000;0.00000000;0.00000000;
0.3740;4.2288;-1.6372;-1.9345;0.00000000;0.00000000;0.00000000;
0.3850;4.2288;-1.6372;-1.9345;0.00000000;0.00000000;0.00000000;
0.3860;4.2288;-1.6372;-1.9345;0.00000000;0.00000000;0.00000000;
0.3860;3.6240;-2.6866;2.3208;0.00000000;0.00000000;0.00000000;
0.3960;3.6240;-2.6866;2.3208;0.00000000;0.00000000;0.00000000;
0.3960;3.6240;-2.6866;2.3208;0.00000000;0.00000000;0.00000000;
0.3960;3.6240;-2.6866;2.3208;0.00000000;0.00000000;0.00000000;
0.3970;3.6240;-2.6866;2.3208;0.00000000;0.00000000;0.00000000;
0.4060;3.6240;-2.6866;2.3208;0.00000000;0.00000000;0.00000000;
0.4060;3.6240;-2.6866;2.3208;0.00000000;0.00000000;0.00000000;
0.4060;2.3024;-0.7449;-0.1839;0.00000000;0.00000000;0.00000000;
0.4160;2.3024;-0.7449;-0.1839;0.00000000;0.00000000;0.00000000;
0.4260;2.3024;-0.7449;-0.1839;0.00000000;0.00000000;0.00000000;
0.4260;2.3024;-0.7449;-0.1839;0.00000000;0.00000000;0.00000000;
0.4260;3.0847;2.4780;-1.4961;0.00000000;0.00000000;0.00000000;
