time;ax;ay;az;wx;wy;wz;Latitude;Longitude;Speed (m/s)
2.0690;-0.2380;-4.4010;-4.6413;0.5547;-0.9823;-0.0470;55.75486992;48.73989833;2.12999988
2.0750;-0.2380;-4.4010;-4.6413;0.6646;-0.8680;0.0660;55.75486992;48.73989833;2.12999988
2.0850;-0.2380;-4.4010;-4.6413;0.7324;-0.5596;0.1057;55.75486992;48.73989833;2.12999988
2.0850;-0.2380;-4.4010;-4.6413;0.7324;-0.5596;0.1057;55.75486992;48.73989833;2.12999988
2.0860;0.2290;-4.5655;-3.7193;0.7324;-0.5596;0.1057;55.75486992;48.73989833;2.12999988
2.0950;0.2290;-4.5655;-3.7193;0.7404;-0.1784;0.0189;55.75486992;48.73989833;2.12999988
2.1050;0.2290;-4.5655;-3.7193;0.6915;0.1338;-0.1710;55.75486992;48.73989833;2.12999988
2.1160;0.2290;-4.5655;-3.7193;0.6512;0.4191;-0.3965;55.75486992;48.73989833;2.12999988
2.1170;0.2290;-4.5655;-3.7193;0.6512;0.4191;-0.3965;55.75486992;48.73989833;2.12999988
2.1170;1.4751;-4.3320;-2.3815;0.6512;0.4191;-0.3965;55.75486992;48.73989833;2.12999988
2.1260;1.4751;-4.3320;-2.3815;0.7691;0.3952;-0.5461;55.75486992;48.73989833;2.12999988
2.1370;1.4751;-4.3320;-2.3815;1.0165;0.0385;-0.7190;55.75486992;48.73989833;2.12999988
2.1470;1.4751;-4.3320;-2.3815;1.3036;-0.4869;-0.7898;55.75486992;48.73989833;2.12999988
2.1470;1.4751;-4.3320;-2.3815;1.3036;-0.4869;-0.7898;55.75486992;48.73989833;2.12999988
2.1480;0.1414;-2.4895;0.8109;1.3036;-0.4869;-0.7898;55.75486992;48.73989833;2.12999988
2.1570;0.1414;-2.4895;0.8109;1.5082;-0.8864;-0.7617;55.75486992;48.73989833;2.12999988
2.1680;0.1414;-2.4895;0.8109;1.5766;-1.2877;-0.6701;55.75486992;48.73989833;2.12999988
2.1790;0.1414;-2.4895;0.8109;1.3531;-1.6554;-0.6591;55.75486992;48.73989833;2.12999988
2.1790;0.1414;-2.4895;0.8109;1.3531;-1.6554;-0.6591;55.75486992;48.73989833;2.12999988
2.1790;1.7293;0.7180;0.7798;1.3531;-1.6554;-0.6591;55.75486992;48.73989833;2.12999988
